,City,State,County,FIPS,Country,Population,Latitude,Longitude,Teleport Housing Score,Teleport Cost of Living Score,Teleport Startups Score,Teleport Venture Capital,Teleport Travel Connectivity,Teleport Commute Score,Teleport Business Freedom Score,Teleport Safety Score,Teleport Healthcare Score,Teleport Education Score,Teleport Environmental Quality Score,Teleport Economy Score,Teleport Taxation Score,Teleport Internet Access Score,Teleport Leisure & Culture Score,Total Score
0,Anchorage,AK,Anchorage,2020,US,298695,61.21806,-149.90028,5.4335,3.141,2.7945,0,1.738,4.71525,8.671,3.4705,8.632666667,3.6245,9.272,6.5145,4.772,4.9645,3.266,55.82441667
1,Birmingham,AL,Jefferson,1073,US,212461,33.52066,-86.80249,6.5555,5.133,4.3575,1,1.4355,2.02075,8.671,1.776,8.743333333,3.6245,7.0375,6.5145,4.204,5.1605,5.3835,56.43158333
2,Little Rock,AR,Pulaski,5119,US,197992,34.74648,-92.28959,,,,,,,,,,,,,,,,0
3,Phoenix,AZ,Maricopa,4013,US,1563025,33.44838,-112.07404,6.533,6.208,6.5085,4.558,3.3025,4.8285,8.671,2.583,8.567333333,4.591,4.62525,6.5145,4.488,6.178,6.81,69.78108333
4,Los Angeles,CA,Los Angeles,6037,US,3971883,34.05223,-118.24368,1.5275,4.556,10,10,3.9585,3.677,8.574666667,5.705,8.439666667,8.6245,4.7315,6.5145,4.7675,5.4965,9.196,80.67966667
5,Denver,CO,Denver,8031,US,682545,39.73915,-104.9847,3.8375,5.102,7.8645,6.117,4.243,4.53,8.671,5.371,8.615666667,3.6245,7.11675,6.5145,4.346,5.4185,6.2235,72.40991667
6,Bridgeport,CT,Fairfield,9001,US,147629,41.17923,-73.18945,,,,,,,,,,,,,,,,0
7,Washington,DC,District of Columbia,11001,US,601723,38.89511,-77.03637,1.2105,3.595,8.774,8.056,4.505,4.457,8.671,2.1915,8.490666667,5.9685,6.99375,6.5145,4.062,3.8255,10,72.12941667
8,Wilmington,DE,New Castle,10003,US,71948,39.74595,-75.54659,,,,,,,,,,,,,,,,0
9,Jacksonville,FL,Duval,12031,US,868031,30.33218,-81.65565,6.45,5.359,4.3475,2.545,1.5675,1.40575,8.671,3.8255,8.498,3.6245,7.12025,6.5145,4.772,6.1575,5.6545,61.327
10,Atlanta,GA,Fulton,13121,US,463878,33.749,-84.38798,4.9755,5.241,8.835,7.257,5.2915,3.89775,8.671,2.6725,8.534,6.457,5.81775,6.5145,4.204,6.4805,7.7655,77.429
11,Honolulu,HI,Honolulu,15003,US,371657,21.30694,-157.85833,2.3415,2.867,4.1335,0,1.983,4.16175,8.671,6.8565,8.474,4.2805,6.094,6.5145,4.204,6.158,7.623,59.17675
12,Des Moines,IA,Polk,19153,US,210330,41.60054,-93.60911,6.851,6.327,2.912,1.818,1.379,2.07225,8.671,6.984,8.841333333,3.6245,8.68225,6.5145,4.346,5.698,6.0665,65.60183333
13,Boise,ID,Ada,16001,US,145987,43.6135,-116.20345,6.9635,6.578,4.205,2.596,1.3235,5.225,8.671,4.3605,8.881,3.6245,8.0695,6.5145,4.062,3.442,4.1995,63.53
14,Chicago,IL,Cook,17031,US,2720546,41.85003,-87.65005,3.702,4.766,9.513,8.368,5.5075,4.57975,8.671,3.832,8.555,7.999,6.8045,6.5145,4.062,6.5995,8.193,82.48125
15,Indianapolis,IN,Marion,18097,US,829718,39.76838,-86.15804,6.266,5.478,5.503,3.96,1.6815,4.85875,8.671,3.968,8.597666667,3.6245,6.1605,6.5145,4.062,5.8755,7.299,67.33441667
16,Wichita,KS,Sedgwick,20173,US,389965,37.69224,-97.33754,,,,,,,,,,,,,,,,0
17,Lexington-Fayette,KY,Fayette,21067,US,314488,38.0498,-84.45855,,,,,,,,,,,,,,,,0
18,New Orleans,LA,Orleans,22071,US,389617,29.95465,-90.07507,5.339,4.992,4.7365,1.21,1.757,4.6275,8.671,2.088,8.311666667,4.152,5.674,6.5145,4.346,6.453,7.1985,60.88516667
19,Boston,MA,Suffolk,25025,US,667137,42.35843,-71.05977,1,4.259,9.565,10,3.215,4.39625,8.671,7.742,8.956,8.6245,8.1705,6.5145,4.062,5.7005,8.564,84.25475
20,Baltimore,MD,Baltimore City,24510,US,621849,39.29038,-76.61219,4.83,4.982,0,4.358,3.6665,4.93475,5.502,2.373,8.944666667,5.8805,5.7845,6.5145,4.062,4.988,0,54.80391667
21,Portland,ME,Cumberland,23005,US,66881,43.65737,-70.2589,0,0,3.637,0,1.102,1.97025,8.671,6.3585,7.747,3.6245,7.6755,6.5145,4.062,3.5465,3.305,43.02825
22,Detroit,MI,Wayne,26163,US,677116,42.33143,-83.04575,6.223,6.032,5.4015,5.184,3.6405,0.933,8.671,4.4615,8.279,5.8185,4.04675,6.5145,3.7785,6.167,7.478,67.44325
23,Minneapolis,MN,Hennepin,27053,US,410939,44.97997,-93.26384,4.7385,5.042,6.5265,5.523,3.544,4.925,8.671,5.085,8.972,5.2745,8.362,6.5145,4.062,6.2585,6.8505,75.1635
24,Kansas City,MO,Jackson,29095,US,475378,39.09973,-94.57857,6.7075,5.844,2.794,3.538,1.869,1.9725,8.671,4.4225,8.775666667,3.6245,7.9765,6.5145,4.062,8.1885,6.6745,66.44916667
25,Jackson,MS,Hinds,28049,US,170674,32.29876,-90.18481,,,,,,,,,,,,,,,,0
26,Billings,MT,Yellowstone,30111,US,110263,45.78329,-108.50069,,,,,,,,,,,,,,,,0
27,Charlotte,NC,Mecklenburg,37119,US,827097,35.22709,-80.84313,5.549,4.987,6.248,2.878,3.679,4.134,8.671,5.3475,8.811333333,3.6245,8.00925,6.5145,4.062,6.387,5.606,69.32258333
28,Fargo,ND,Cass,38017,US,118523,46.87719,-96.7898,,,,,,,,,,,,,,,,0
29,Omaha,NE,Douglas,31055,US,443885,41.25626,-95.94043,7.0405,5.994,4.012,0,1.4165,2.12775,8.671,5.552,8.88,4.128,7.876,6.5145,4.204,6.3065,4.942,62.47925
30,Manchester,NH,Hillsborough,33011,US,110229,42.99564,-71.45479,,,,,,,,,,,,,,,,0
31,Newark,NJ,Essex,34013,US,281944,40.73566,-74.17237,1,2.342,10,10,6.675,5.51925,8.671,7.022,8.501666667,8.0935,5.23375,6.5145,3.9205,7.0985,10,85.40616667
32,Albuquerque,NM,Bernalillo,35001,US,559121,35.08449,-106.65114,7.262,6.059,3.772,1.493,1.4555,5.05575,8.671,1.3435,8.508666667,4.152,7.3195,6.5145,4.346,5.396,4.89,61.05291667
33,Las Vegas,NV,Clark,32003,US,623747,36.17497,-115.13722,7.001,5.759,7.515,2.022,3.5285,4.8075,8.671,2.385,7.984666667,3.6245,5.5565,6.5145,4.772,5.3035,6.3685,66.62766667
34,New York City,NY,New York,36061,US,8175133,40.71427,-74.00597,1,2.342,10,10,6.675,5.51925,8.671,7.022,8.501666667,8.0935,5.23375,6.5145,3.9205,7.0985,10,85.40616667
35,Columbus,OH,Franklin,39049,US,850106,39.96118,-82.99879,6.2895,5.746,5.8785,4.973,1.663,5.02675,8.671,5.2815,8.689,5.0475,8.166,6.5145,3.9205,4.5535,6.466,71.70075
36,Oklahoma City,OK,Oklahoma,40109,US,631346,35.46756,-97.51643,7.261,6.394,4.1375,0,1.399,5.02725,8.671,4.6855,8.549,3.6245,7.61525,6.5145,4.204,7.689,5.376,65.962
37,Portland,OR,Multnomah,41051,US,632309,45.52345,-122.67621,4.138,4.924,6.957,5.899,2.2405,4.908,8.671,5.1805,8.596666667,4.2155,8.4595,6.5145,3.9205,5.9685,6.2195,71.62716667
38,Philadelphia,PA,Philadelphia,42101,US,1567442,39.95233,-75.16379,4.207,4.422,7.3625,5.216,3.556,4.1315,8.671,3.133,8.621666667,6.0285,5.124,6.5145,3.7785,7.443,8.492,71.51566667
39,Providence,RI,Providence,44007,US,179207,41.82399,-71.41283,3.153,0,3.764,1,3.0185,2.422,8.671,6.846,8.885333333,5.3015,5.9005,6.5145,4.204,8.9345,3.9185,57.34783333
40,Columbia,SC,Richland,45079,US,133803,34.00071,-81.03481,,,,,,,,,,,,,,,,0
41,Sioux Falls,SD,Minnehaha,46099,US,171544,43.54997,-96.70033,,,,,,,,,,,,,,,,0
42,Memphis,TN,Shelby,47157,US,655770,35.14953,-90.04898,7.1145,5.829,4.4495,0,1.6615,1.9175,8.671,2.8585,7.523666667,3.6245,4.54525,6.5145,4.772,6.07,6.8605,57.22641667
43,Houston,TX,Harris,48201,US,2296224,29.76328,-95.36327,5.2245,6.162,7.9345,4.474,4.3385,4.03075,8.671,3.129,8.611,4.928,5.3045,6.5145,4.772,6.2485,7.144,72.30125
44,Salt Lake City,UT,Salt Lake,49035,US,192672,40.76078,-111.89105,6.141,6.172,6.3,7.09,2.737,4.574,8.671,5.657,8.818666667,4.2805,6.21575,6.5145,4.204,6.8105,5.932,74.93241667
45,Virginia Beach,VA,Virginia Beach City,51810,US,452745,36.85293,-75.97799,,,,,,,,,,,,,,,,0
46,Burlington,VT,Chittenden,50007,US,42452,44.47588,-73.21207,,,,,,,,,,,,,,,,0
47,Seattle,WA,King,53033,US,684451,47.60621,-122.33207,2.291,3.79,8.367,7.551,2.8845,4.52375,8.671,5.6365,8.724333333,5.7145,7.56025,6.5145,4.772,4.9405,8.1155,74.87083333
48,Milwaukee,WI,Milwaukee,55079,US,600155,43.0389,-87.90647,6.1225,5.526,4.8305,2.005,1.5875,4.915,8.671,4.267,8.594333333,4.177,7.989,6.5145,4.204,4.346,6.8375,65.40133333
49,Charleston,WV,Kanawha,54039,US,49736,38.34982,-81.63262,,,,,,,,,,,,,,,,0
50,Cheyenne,WY,Laramie,56021,US,63335,41.13998,-104.82025,,,,,,,,,,,,,,,,0
